Timestamp,Distance (mm)
2024-05-27 14:18:37,149
2024-05-27 14:18:39,150
2024-05-27 14:18:41,148
2024-05-27 14:18:43,149
2024-05-27 14:18:45,152
2024-05-27 14:18:47,151
2024-05-27 14:18:49,149
2024-05-27 14:18:51,148
2024-05-27 14:18:53,149
2024-05-27 14:18:55,148
2024-05-27 14:18:57,145
2024-05-27 14:18:59,148
2024-05-27 14:19:01,150
2024-05-27 14:19:03,147
2024-05-27 14:19:05,147
2024-05-27 14:19:07,149
2024-05-27 14:19:09,146
2024-05-27 14:19:11,150
2024-05-27 14:19:13,147
2024-05-27 14:19:15,148
2024-05-27 14:19:17,148
2024-05-27 14:19:19,148
2024-05-27 14:19:21,148
2024-05-27 14:19:23,147
2024-05-27 14:19:25,148
2024-05-27 14:19:27,146
2024-05-27 14:19:29,148
2024-05-27 14:19:31,150
2024-05-27 14:19:33,147
2024-05-27 14:19:35,149
2024-05-27 14:19:37,146
2024-05-27 14:19:39,149
2024-05-27 14:19:41,151
2024-05-27 14:19:43,150
2024-05-27 14:19:45,153
2024-05-27 14:19:47,147
2024-05-27 14:19:49,147
2024-05-27 14:19:51,146
2024-05-27 14:19:53,148
2024-05-27 14:19:55,147
2024-05-27 14:19:57,155
2024-05-27 14:19:59,185
2024-05-27 14:20:01,152
2024-05-27 14:20:03,178
2024-05-27 14:20:05,159
2024-05-27 14:20:07,161
2024-05-27 14:20:09,159
2024-05-27 14:20:11,160
2024-05-27 14:20:13,160
2024-05-27 14:20:15,160
2024-05-27 14:20:17,161
2024-05-27 14:20:19,161
2024-05-27 14:20:21,160
2024-05-27 14:20:23,158
2024-05-27 14:20:25,161
2024-05-27 14:20:27,159
2024-05-27 14:20:29,159
2024-05-27 14:20:31,160
2024-05-27 14:20:33,161
2024-05-27 14:20:35,161
2024-05-27 14:20:37,158
2024-05-27 14:20:39,157
2024-05-27 14:20:41,159
2024-05-27 14:20:43,158
2024-05-27 14:20:45,161
2024-05-27 14:20:47,162
2024-05-27 14:20:49,160
2024-05-27 14:20:51,162
2024-05-27 14:20:53,160
2024-05-27 14:20:55,162
2024-05-27 14:20:57,161
2024-05-27 14:20:59,159
2024-05-27 14:21:01,159
2024-05-27 14:21:03,160
2024-05-27 14:21:05,159
2024-05-27 14:21:07,161
2024-05-27 14:21:09,160
2024-05-27 14:21:11,162
2024-05-27 14:21:13,159
2024-05-27 14:21:15,162
2024-05-27 14:21:17,159
2024-05-27 14:21:19,161
2024-05-27 14:21:21,160
2024-05-27 14:21:23,161
2024-05-27 14:21:25,161
2024-05-27 14:21:27,162
2024-05-27 14:21:29,159
2024-05-27 14:21:31,160
2024-05-27 14:21:33,162
2024-05-27 14:21:35,160
2024-05-27 14:21:37,161
2024-05-27 14:21:39,161
2024-05-27 14:21:41,161
2024-05-27 14:21:43,160
2024-05-27 14:21:44,160
2024-05-27 14:21:45,160
2024-05-27 14:21:46,158
2024-05-27 14:21:47,163
2024-05-27 14:21:48,159
2024-05-27 14:21:49,160
2024-05-27 14:21:50,159
2024-05-27 14:21:51,159
2024-05-27 14:21:53,160
2024-05-27 14:21:55,159
2024-05-27 14:21:57,158
2024-05-27 14:21:59,160
2024-05-27 14:22:01,158
2024-05-27 14:22:03,160
2024-05-27 14:22:05,160
2024-05-27 14:22:07,159
2024-05-27 14:22:09,159
2024-05-27 14:22:11,158
2024-05-27 14:22:13,160
